iter	Passed	Remaining
0	33	33724
1	68	33959
2	104	34819
3	146	36357
4	189	37625
5	228	37797
6	266	37840
7	299	37159
8	331	36472
9	362	35890
10	395	35583
11	427	35232
12	462	35144
13	495	34877
14	527	34620
15	557	34315
16	589	34099
17	621	33931
18	654	33769
19	686	33652
20	719	33528
21	752	33457
22	784	33337
23	815	33143
24	850	33160
25	886	33195
26	919	33126
27	956	33220
28	1009	33803
29	1056	34150
30	1092	34144
31	1123	33997
32	1159	33978
33	1193	33908
34	1234	34045
35	1270	34009
36	1304	33941
37	1334	33788
38	1367	33690
39	1398	33566
40	1428	33419
41	1461	33327
42	1489	33146
43	1521	33068
44	1551	32936
45	1582	32812
46	1613	32719
47	1642	32572
48	1674	32489
49	1708	32460
50	1740	32388
51	1774	32347
52	1808	32308
53	1836	32164
54	1865	32055
55	1898	31995
56	1931	31952
57	1961	31852
58	1993	31795
59	2023	31705
60	2056	31660
61	2085	31551
62	2117	31494
63	2148	31426
64	2182	31397
65	2212	31314
66	2245	31268
67	2278	31225
68	2307	31131
69	2336	31047
70	2365	30945
71	2396	30884
72	2427	30824
73	2461	30800
74	2490	30722
75	2526	30716
76	2560	30696
77	2596	30688
78	2630	30671
79	2669	30695
80	2702	30661
81	2730	30569
82	2763	30531
83	2799	30523
84	2828	30448
85	2861	30414
86	2889	30318
87	2917	30238
88	2948	30180
89	2976	30098
90	3004	30014
91	3033	29939
92	3066	29906
93	3096	29847
94	3131	29833
95	3166	29814
96	3198	29778
97	3231	29739
98	3260	29677
99	3292	29633
100	3328	29623
101	3362	29601
102	3393	29553
103	3427	29531
104	3461	29505
105	3495	29484
106	3531	29476
107	3566	29456
108	3600	29433
109	3633	29399
110	3671	29401
111	3698	29322
112	3728	29263
113	3759	29214
114	3787	29150
115	3818	29097
116	3850	29059
117	3885	29041
118	3914	28982
119	3947	28945
120	3975	28876
121	4005	28828
122	4034	28764
123	4065	28721
124	4096	28678
125	4128	28635
126	4158	28583
127	4188	28532
128	4221	28506
129	4252	28460
130	4282	28408
131	4314	28368
132	4345	28325
133	4376	28285
134	4409	28253
135	4440	28212
136	4470	28158
137	4499	28104
138	4529	28056
139	4560	28014
140	4591	27975
141	4622	27927
142	4657	27912
143	4689	27873
144	4719	27830
145	4746	27765
146	4774	27706
147	4806	27669
148	4835	27616
149	4862	27556
150	4891	27503
151	4921	27455
152	4949	27400
153	4980	27362
154	5015	27342
155	5049	27321
156	5081	27286
157	5107	27217
158	5137	27175
159	5164	27111
160	5190	27047
161	5222	27016
162	5255	26987
163	5284	26940
164	5311	26879
165	5345	26857
166	5376	26818
167	5405	26768
168	5433	26715
169	5467	26694
170	5500	26664
171	5529	26620
172	5561	26587
173	5592	26546
174	5622	26506
175	5651	26457
176	5683	26425
177	5711	26376
178	5743	26342
179	5771	26294
180	5800	26244
181	5832	26214
182	5859	26160
183	5890	26123
184	5920	26083
185	5952	26051
186	5982	26007
187	6010	25961
188	6039	25917
189	6068	25873
190	6095	25819
191	6125	25776
192	6158	25749
193	6189	25714
194	6224	25694
195	6255	25660
196	6287	25629
197	6318	25595
198	6350	25561
199	6386	25546
200	6415	25501
201	6444	25458
202	6477	25431
203	6505	25382
204	6536	25350
205	6567	25312
206	6594	25264
207	6626	25233
208	6656	25193
209	6687	25158
210	6717	25119
211	6746	25078
212	6775	25032
213	6805	24996
214	6836	24960
215	6868	24930
216	6896	24883
217	6927	24850
218	6955	24805
219	6985	24765
220	7012	24717
221	7043	24683
222	7075	24652
223	7106	24618
224	7136	24581
225	7168	24550
226	7199	24516
227	7229	24479
228	7258	24437
229	7288	24402
230	7317	24361
231	7345	24315
232	7372	24269
233	7398	24219
234	7439	24216
235	7470	24184
236	7494	24127
237	7524	24092
238	7554	24054
239	7584	24017
240	7619	23995
241	7647	23953
242	7673	23903
243	7700	23859
244	7730	23821
245	7763	23794
246	7785	23734
247	7813	23693
248	7842	23654
249	7874	23624
250	7906	23592
251	7936	23556
252	7964	23515
253	7995	23482
254	8027	23451
255	8057	23418
256	8087	23381
257	8119	23351
258	8148	23311
259	8179	23279
260	8207	23239
261	8239	23209
262	8268	23169
263	8295	23125
264	8330	23104
265	8356	23059
266	8382	23011
267	8414	22982
268	8442	22941
269	8471	22904
270	8499	22863
271	8530	22832
272	8555	22782
273	8579	22731
274	8609	22696
275	8641	22668
276	8671	22632
277	8702	22602
278	8734	22571
279	8763	22534
280	8792	22497
281	8825	22470
282	8854	22433
283	8887	22406
284	8918	22374
285	8948	22339
286	8977	22302
287	9006	22265
288	9035	22229
289	9065	22193
290	9094	22156
291	9124	22124
292	9153	22087
293	9181	22047
294	9207	22005
295	9238	21973
296	9266	21932
297	9295	21897
298	9325	21863
299	9353	21824
300	9384	21792
301	9417	21766
302	9445	21728
303	9476	21695
304	9507	21665
305	9539	21634
306	9566	21595
307	9594	21557
308	9626	21526
309	9654	21489
310	9681	21447
311	9710	21413
312	9738	21374
313	9765	21334
314	9787	21283
315	9819	21254
316	9847	21217
317	9874	21178
318	9905	21145
319	9933	21108
320	9966	21081
321	10000	21056
322	10028	21019
323	10055	20979
324	10084	20945
325	10114	20911
326	10143	20877
327	10173	20842
328	10201	20806
329	10231	20772
330	10262	20742
331	10288	20701
332	10318	20668
333	10349	20636
334	10373	20593
335	10403	20559
336	10432	20525
337	10460	20487
338	10487	20448
339	10516	20413
340	10547	20383
341	10580	20357
342	10609	20322
343	10639	20289
344	10667	20252
345	10697	20219
346	10726	20185
347	10752	20146
348	10777	20103
349	10803	20063
350	10832	20029
351	10858	19989
352	10883	19948
353	10910	19909
354	10938	19874
355	10969	19843
356	10995	19804
